id,status_pred,prob
42100,0,0.1169
42101,0,0.1578
42102,1,0.5947
42103,0,0.0664
42104,0,0.3765
42105,1,0.7941
42106,0,0.418
42107,1,0.8522
42108,0,0.0009
42109,0,0.4793
42110,1,0.8959
42111,0,0.1394
42112,1,0.5688
42113,0,0.1016
42114,0,0.3335
42115,1,0.7978
42116,0,0.0204
42117,0,0.2617
42118,1,0.978
42119,1,0.9652
42120,1,0.9255
42121,0,0.0306
42122,0,0.0027
42123,1,0.806
42124,1,0.8579
42125,0,0.0089
42126,0,0.0023
42127,0,0.0018
42128,0,0.2859
42129,1,0.5154
42130,1,0.9119
42131,0,0.4001
42132,0,0.4799
42133,1,0.9868
42134,0,0.3247
42135,0,0.0005
42136,0,0.0267
42137,0,0.2549
42138,1,0.9392
42139,1,0.86
42140,0,0.1435
42141,0,0.4886
42142,0,0.3688
42143,1,0.883
42144,0,0.0525
42145,1,0.8598
42146,0,0.116
42147,1,0.7455
42148,1,0.96
42149,0,0.3406
42150,0,0.2885
42151,1,0.9089
42152,1,0.8587
42153,0,0.1947
42154,1,0.7702
42155,0,0.4111
42156,0,0.1491
42157,0,0.0139
42158,1,0.5919
42159,1,0.8492
42160,0,0.4356
42161,0,0.0003
42162,0,0.0293
42163,0,0.0902
42164,1,0.611
42165,0,0.3256
42166,1,0.6845
42167,0,0.0006
42168,1,0.8521
42169,1,0.8442
42170,0,0.013
42171,0,0.0121
42172,0,0.1346
42173,1,0.9135
42174,0,0.1642
42175,1,0.5052
42176,1,0.8586
42177,0,0.2691
42178,0,0.0288
42179,1,0.9507
42180,0,0.48
42181,1,0.7298
42182,1,0.8845
42183,1,0.5151
42184,0,0.0669
42185,0,0.1112
42186,0,0.3217
42187,0,0.1957
42188,0,0.0041
42189,0,0.0796
42190,0,0.1408
42191,1,0.5804
42192,1,0.7819
42193,0,0.0555
42194,0,0.1154
42195,1,0.9796
42196,1,0.8504
42197,0,0.2559
42198,1,0.7741
42199,1,0.7264
42200,0,0.4597
42201,1,0.5982
42202,0,0.4581
42203,0,0.2609
42204,1,0.6181
42205,0,0.1794
42206,0,0.008
42207,1,0.6604
42208,0,0.0466
42209,0,0.1864
42210,0,0.2096
42211,0,0.2219
42212,0,0.2275
42213,1,0.8986
42214,1,0.8081
42215,0,0.1901
42216,1,0.9092
42217,0,0.1168
42218,0,0.0265
42219,0,0.2735
42220,0,0.0964
42221,1,0.6631
42222,1,0.6402
42223,0,0.1372
42224,1,0.9849
42225,1,0.5377
42226,1,0.9558
42227,0,0.0274
42228,1,0.7364
42229,0,0.0508
42230,0,0.196
42231,1,0.8161
42232,0,0.2497
42233,0,0.2242
42234,0,0.0961
42235,0,0.045
42236,0,0.0219
42237,1,0.8886
42238,0,0.2803
42239,0,0.2536
42240,1,0.9691
42241,1,0.8728
42242,0,0.0422
42243,1,0.9836
42244,0,0.1617
42245,1,0.7218
42246,1,0.9671
42247,1,0.698
42248,1,0.5667
42249,1,0.9277
42250,0,0.3943
42251,0,0.4457
42252,1,0.7408
42253,1,0.6599
42254,0,0.0418
42255,0,0.0597
42256,1,0.7359
42257,0,0.4171
42258,1,0.6914
42259,1,0.6919
42260,1,0.805
42261,1,0.7717
42262,1,0.9263
42263,1,0.9919
42264,0,0.1786
42265,1,0.7888
42266,0,0.0064
42267,0,0.2742
42268,1,0.5488
42269,0,0.0904
42270,1,0.9546
42271,1,0.8915
42272,0,0.0234
42273,0,0.0043
42274,1,0.8478
42275,0,0.3428
42276,0,0.0491
42277,0,0.1398
42278,0,0.0996
42279,0,0.3259
42280,1,0.5142
42281,0,0.0017
42282,0,0.3324
42283,0,0.2027
42284,1,0.5256
42285,0,0.0069
42286,0,0.0346
42287,1,0.619
42288,0,0.1611
42289,1,0.778
42290,0,0.0334
42291,1,0.8673
42292,0,0.3166
42293,1,0.8347
42294,1,0.9049
42295,0,0.0421
42296,0,0.0143
42297,0,0.0565
42298,0,0.0664
42299,1,0.6828
42300,1,0.7764
42301,0,0.0997
42302,0,0.1321
42303,0,0.2804
42304,0,0.0233
42305,0,0.4068
42306,0,0.1173
42307,0,0.0455
42308,0,0.0563
42309,0,0.1919
42310,0,0.3983
42311,1,0.5909
42312,0,0.047
42313,1,0.8451
42314,1,0.8124
42315,0,0.0805
42316,1,0.7263
42317,0,0.2113
42318,0,0.4064
42319,0,0.0084
42320,1,0.5474
42321,0,0.3412
42322,1,0.9149
42323,0,0.0194
42324,1,0.5174
42325,0,0.0121
42326,1,0.5046
42327,0,0.0537
42328,0,0.0078
42329,0,0.0214
42330,1,0.8029
42331,0,0.2203
42332,0,0.217
42333,1,0.8082
42334,0,0.027
42335,1,0.7222
42336,0,0.0448
42337,1,0.6685
42338,0,0.0268
42339,0,0.028
42340,0,0.2069
42341,1,0.6344
42342,1,0.9572
42343,0,0.3419
42344,0,0.3294
42345,0,0.0461
42346,1,0.8544
42347,1,0.7739
42348,1,0.9736
42349,0,0.2393
42350,0,0.3759
42351,0,0.0808
42352,1,0.8851
42353,1,0.8934
42354,0,0.0267
42355,0,0.1694
42356,1,0.5494
42357,0,0.0014
42358,1,0.9439
42359,0,0.0622
42360,1,0.6033
42361,0,0.1158
42362,1,0.7697
42363,0,0.2362
42364,0,0.2893
42365,0,0.1179
42366,0,0.0544
42367,1,0.6606
42368,1,0.6762
42369,1,0.8221
42370,0,0.2137
42371,0,0.0279
42372,0,0.1549
42373,1,0.9836
42374,1,0.7531
42375,0,0.4843
42376,0,0.1049
42377,1,0.9758
42378,1,0.554
42379,0,0.2145
42380,0,0.0333
42381,0,0.0263
42382,1,0.5794
42383,1,0.9278
42384,0,0.0702
42385,0,0.0251
42386,1,0.703
42387,1,0.5358
42388,0,0.0072
42389,0,0.007
42390,1,0.9066
42391,0,0.1086
42392,0,0.0462
42393,0,0.0784
42394,0,0.107
42395,1,0.5427
42396,0,0.1951
42397,1,0.9586
42398,0,0.047
42399,0,0.4594
42400,0,0.2631
42401,0,0.0935
42402,1,0.7737
42403,1,0.7583
42404,1,0.6114
42405,0,0.4405
42406,0,0.4273
42407,0,0.1425
42408,0,0.1904
42409,1,0.6398
42410,1,0.8506
42411,0,0.0073
42412,1,0.9478
42413,0,0.4724
42414,1,0.7406
42415,0,0.1913
42416,1,0.6577
42417,0,0.0505
42418,0,0.4293
42419,0,0.4146
42420,0,0.165
42421,0,0.0132
42422,0,0.222
42423,1,0.6081
42424,1,0.9545
42425,0,0.2813
42426,0,0.1947
42427,0,0.0919
42428,0,0.1029
42429,1,0.9031
42430,0,0.121
42431,1,0.7791
42432,1,0.9578
42433,0,0.1302
42434,0,0.0035
42435,0,0.0572
42436,0,0.3174
42437,0,0.1447
42438,0,0.0916
42439,1,0.9309
42440,0,0.1592
42441,1,0.9798
42442,0,0.1766
42443,0,0.252
42444,0,0.0305
42445,0,0.0848
42446,1,0.5977
42447,0,0.129
42448,0,0.0311
42449,0,0.2261
42450,0,0.2634
42451,0,0.1509
42452,0,0.0577
42453,0,0.0251
42454,0,0.2826
42455,0,0.1745
42456,1,0.7262
42457,0,0.0142
42458,0,0.1356
42459,0,0.2025
42460,1,0.7964
42461,0,0.1089
42462,1,0.6596
42463,0,0.4548
42464,1,0.8561
42465,0,0.0873
42466,1,0.7273
42467,0,0.2095
42468,1,0.5732
42469,0,0.1857
42470,0,0.2888
42471,0,0.2461
42472,0,0.3676
42473,0,0.0345
42474,0,0.2594
42475,0,0.0264
42476,0,0.0003
42477,0,0.3487
42478,1,0.8684
42479,1,0.7666
42480,0,0.0084
42481,0,0.0884
42482,0,0.0616
42483,0,0.2183
42484,1,0.5311
42485,0,0.0044
42486,1,0.8253
42487,1,0.5265
42488,0,0.0257
42489,0,0.2041
42490,0,0.0768
42491,1,0.7395
42492,1,0.5665
42493,0,0.0547
42494,0,0.0876
42495,0,0.2866
42496,0,0.3706
42497,0,0.0018
42498,0,0.037
42499,0,0.1364
42500,0,0.1224
42501,0,0.4683
42502,1,0.5574
42503,1,0.9375
42504,0,0.0789
42505,0,0.0
42506,0,0.3339
42507,0,0.0054
42508,0,0.0917
42509,0,0.0867
42510,1,0.5508
42511,0,0.3493
42512,0,0.2693
42513,0,0.0245
42514,0,0.0238
42515,0,0.3523
42516,1,0.5973
42517,1,0.7205
42518,1,0.8506
42519,0,0.3918
42520,1,0.7219
42521,0,0.0027
42522,0,0.4628
42523,0,0.1149
42524,0,0.3253
42525,1,0.6611
42526,1,0.8613
42527,0,0.2645
42528,1,0.7157
42529,1,0.544
42530,1,0.6753
42531,1,0.8935
42532,0,0.059
42533,0,0.3267
42534,0,0.0862
42535,1,0.9826
42536,0,0.0484
42537,0,0.06
42538,1,0.7721
42539,0,0.3467
42540,0,0.0719
42541,0,0.1995
42542,0,0.0513
42543,1,0.6176
42544,0,0.0076
42545,1,0.8796
42546,0,0.0369
42547,0,0.1638
42548,0,0.4949
42549,1,0.5007
42550,1,0.6729
42551,1,0.9606
42552,1,0.8884
42553,0,0.0187
42554,0,0.0547
42555,0,0.443
42556,0,0.1206
42557,0,0.2938
42558,0,0.2793
42559,0,0.0674
42560,0,0.2965
42561,1,0.7222
42562,1,0.8828
42563,1,0.6797
42564,1,0.5008
42565,1,0.887
42566,1,0.9095
42567,0,0.0172
42568,0,0.0319
42569,0,0.0336
42570,0,0.435
42571,0,1e-04
42572,0,0.4695
42573,0,0.2482
42574,1,0.9291
42575,1,0.9146
42576,0,0.0447
42577,0,0.1908
42578,0,0.0043
42579,0,0.0105
42580,0,0.0014
42581,1,0.9719
42582,0,0.1155
42583,0,0.0695
42584,0,0.0026
42585,0,0.1209
42586,0,0.1284
42587,1,0.9061
42588,0,0.1549
42589,1,0.5825
42590,1,0.9773
42591,0,0.0879
42592,0,0.0887
42593,0,0.1406
42594,0,0.0329
42595,0,0.0726
42596,0,0.3097
42597,0,0.1213
42598,0,0.2961
42599,0,0.3274
42600,0,0.0
42601,1,0.8357
42602,1,0.949
42603,0,0.0168
42604,1,0.7545
42605,1,0.682
42606,1,0.7738
42607,1,0.6066
42608,0,0.1843
42609,0,1e-04
42610,0,0.4755
42611,1,0.7534
42612,0,0.0267
42613,0,0.2603
42614,0,0.002
42615,0,0.114
42616,1,0.8084
42617,0,0.2066
42618,0,0.4973
42619,0,0.1981
42620,1,0.6925
42621,1,0.9247
42622,1,0.5813
42623,1,0.8915
42624,0,0.1203
42625,0,0.0964
42626,1,0.8393
42627,0,0.394
42628,1,0.7046
42629,1,0.9198
42630,1,0.7739
42631,0,0.2425
42632,0,0.0068
42633,0,0.0351
42634,0,0.3677
42635,0,0.0715
42636,0,0.3849
42637,0,0.3304
42638,0,0.0053
42639,1,0.7939
42640,0,0.0182
42641,0,0.0441
42642,0,0.2369
42643,0,0.1273
42644,0,0.1986
42645,0,0.3129
42646,1,0.7777
42647,0,0.0123
42648,0,0.0415
42649,0,0.2918
42650,1,0.5551
42651,0,0.1649
42652,0,0.2206
42653,0,0.1334
42654,0,0.4067
42655,0,0.0922
42656,0,0.2653
42657,1,0.9278
42658,0,0.0854
42659,0,0.4705
42660,1,0.6423
42661,0,0.1106
42662,1,0.9164
42663,0,0.0356
42664,0,0.0463
42665,0,0.2979
42666,1,0.7255
42667,0,0.0597
42668,0,0.0329
42669,1,0.7802
42670,1,0.8792
42671,0,0.0828
42672,1,0.9862
42673,0,0.2641
42674,0,0.0007
42675,0,0.1403
42676,0,0.2022
42677,0,0.4907
42678,1,0.5246
42679,0,0.1206
42680,0,0.4911
42681,0,0.0057
42682,1,0.9723
42683,1,0.9634
42684,0,0.0063
42685,0,0.1373
42686,0,0.1136
42687,0,0.0707
42688,1,0.5806
42689,1,0.9539
42690,0,0.4039
42691,0,0.0055
42692,0,0.2735
42693,1,0.6114
42694,0,0.0272
42695,0,0.0773
42696,0,0.4471
42697,0,0.4436
42698,0,0.4837
42699,0,0.2268
42700,0,0.241
42701,0,0.0108
42702,0,0.0757
42703,0,0.2902
42704,0,0.1935
42705,0,0.0146
42706,0,0.0295
42707,0,0.0021
42708,0,0.0224
42709,0,0.0014
42710,0,0.2474
42711,1,0.5075
42712,0,0.3506
42713,0,0.0173
42714,0,0.1564
42715,0,0.1311
42716,0,0.3079
42717,0,0.0348
42718,0,0.1499
42719,0,0.0264
42720,1,0.635
42721,1,0.7433
42722,0,0.0886
42723,0,0.1509
42724,0,0.2912
42725,0,0.0076
42726,0,0.0996
42727,1,0.8415
42728,0,0.1906
42729,1,0.9377
42730,0,0.294
42731,0,0.0327
42732,1,0.7411
42733,1,0.8849
42734,0,0.2494
42735,0,0.1662
42736,1,0.8156
42737,0,0.2117
42738,0,0.047
42739,0,0.1507
42740,0,0.1047
42741,1,0.9136
42742,0,0.0035
42743,1,0.7816
42744,1,0.8562
42745,1,0.6703
42746,0,0.0402
42747,1,0.8241
42748,1,0.9328
42749,0,0.2769
42750,0,0.411
42751,0,0.0113
42752,0,0.0164
42753,0,0.4566
42754,1,0.5344
42755,1,0.7977
42756,0,0.0672
42757,0,0.0336
42758,1,0.6289
42759,1,0.8764
42760,0,0.2263
42761,0,0.0207
42762,1,0.9238
42763,0,0.1861
42764,1,0.9342
42765,0,0.3146
42766,0,0.0092
42767,0,0.0031
42768,0,0.4313
42769,0,0.009
42770,0,0.0153
42771,1,0.7947
42772,0,0.2332
42773,1,0.836
42774,0,0.2519
42775,0,0.0113
42776,0,0.0887
42777,0,0.3846
42778,0,0.407
42779,0,0.0248
42780,0,0.0228
42781,0,0.3424
42782,0,0.0489
42783,0,0.1266
42784,1,0.7363
42785,1,0.5802
42786,0,0.0094
42787,1,0.6056
42788,0,0.4632
42789,1,0.9937
42790,0,0.0989
42791,0,0.0116
42792,0,0.0549
42793,0,0.1386
42794,0,0.1104
42795,1,0.6948
42796,1,0.8684
42797,0,0.1068
42798,1,0.7606
42799,0,0.03
42800,1,0.7052
42801,1,0.7442
42802,0,0.0239
42803,0,0.0331
42804,0,0.0364
42805,0,0.0166
42806,0,0.3331
42807,0,0.2321
42808,0,1e-04
42809,0,0.0723
42810,1,0.9684
42811,1,0.7702
42812,0,0.066
42813,1,0.7209
42814,0,0.331
42815,0,0.0795
42816,0,0.1002
42817,0,0.4667
42818,0,0.1366
42819,0,0.2282
42820,1,0.6441
42821,0,0.0309
42822,1,0.8475
42823,1,0.9298
42824,0,0.1462
42825,0,0.0089
42826,1,0.9809
42827,0,0.3443
42828,1,0.7857
42829,0,0.2832
42830,1,0.9315
42831,1,0.9582
42832,0,0.0669
42833,1,0.7778
42834,0,0.0552
42835,1,0.774
42836,0,0.4793
42837,1,0.7983
42838,0,0.0199
42839,1,0.8425
42840,0,0.0372
42841,0,0.0014
42842,0,0.2588
42843,1,0.9256
42844,1,0.6343
42845,0,0.1359
42846,1,0.788
42847,0,0.0502
42848,0,0.0065
42849,0,0.0286
42850,0,0.2443
42851,0,0.3825
42852,0,0.3967
42853,1,0.8717
42854,0,0.0449
42855,0,0.0013
42856,0,0.0793
42857,1,0.772
42858,0,0.0814
42859,0,0.0178
42860,0,0.4878
