sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.02,0.88,0.1
6.9,3.1,5.1,2.3,virginica,0.0,0.07,0.93
5.1,2.5,3.0,1.1,versicolor,0.1,0.89,0.01
4.4,2.9,,0.2,setosa,0.75,0.25,0.0
5.9,3.0,5.1,1.8,virginica,0.01,0.33,0.66
5.5,3.5,1.3,0.2,setosa,0.96,0.04,0.0
5.6,,3.6,1.3,versicolor,0.16,0.81,0.03
6.5,3.0,5.2,2.0,virginica,0.0,0.16,0.84
5.3,3.7,1.5,0.2,setosa,0.99,0.01,0.0
5.1,3.4,1.5,,setosa,0.89,0.11,0.0
6.1,2.8,4.0,1.3,versicolor,0.02,0.9,0.08
5.5,2.4,3.7,1.0,versicolor,0.03,0.95,0.03
7.7,3.0,6.1,2.3,virginica,0.0,0.01,0.99
6.9,3.1,4.9,1.5,versicolor,0.01,0.65,0.35
6.0,2.2,5.0,1.5,virginica,0.0,0.4,0.6
